"treated_nsn","outcome","att","placebo_se","ci_lo","ci_hi","asymp_p","empirical_p","pre_rmspe","weight_hhi","n_balanced_pool","n_active","n_pre_eys","n_post_eys","n_placebo_used","wall_sec","error"
"8150014912678","max_log_unit_price",-0.363270729360211,0.331604298649428,-1.01321515471309,0.286673695992669,0.27329999564933,0.125,0.00060415132723142,0.000575334713042721,15584,3531,5,3,200,7091.01561284065,NA
"8150014912678","mean_offers",0.30166657313426,2.16445363543402,-3.94066255231641,4.54399569858493,0.889155342510184,0.6,0.259441855048428,0.018352774382913,2979,107,5,3,200,765.534061908722,NA
"8150015012741","domestic_share",-0.451660950797742,0.0596621434816196,-0.568598752021717,-0.334723149573768,3.73034936274053e-14,0,0.000632387624004743,0.00579647118503201,13175,284,5,3,200,5318.39340209961,NA
"8150015012741","max_log_unit_price",-0.346364639238618,0.305257555126299,-0.944669447286165,0.251940168808929,0.256516290277733,0.16,0.00045402198974644,0.00040461673233891,15111,4169,5,3,200,6316.13937997818,NA
"8150015012741","mean_offers",-0.176076617984431,1.83906120567108,-3.78063658109974,3.42848334513088,0.923724956026401,0.775,0.00598200770510436,0.000511604025754322,2830,2339,5,3,200,768.898907899857,NA
"8150015134913","domestic_share",-0.0722817857618122,0.0917164553205909,-0.25204603819017,0.107482466666546,0.43063791341654,0.05,6.39268510304596e-05,0.0008662097148469,20971,2638,5,1,200,9001.91260886192,NA
"8150015134913","max_log_unit_price",-0.0304635858516376,0.32473761728624,-0.666949315732669,0.606022144029394,0.925260210242757,0.855,6.70559282314424e-05,0.000140269077226239,17148,7899,5,2,200,7058.17817187309,NA
"8150015134913","mean_offers",0.75962270756895,1.98025103585995,-3.12166932271655,4.64091473785445,0.70127553513368,0.415,0.000999579529546727,0.000301342304088326,5730,4693,5,1,200,2248.57047510147,NA
"8150015148414","domestic_share",-0.859046118389523,0.097301131224051,-1.04975633558866,-0.668335901190383,0,0,0.00332155692319544,0.0307329788168888,7776,55,5,4,200,2941.6320939064,NA
"8150015148414","max_log_unit_price",-0.385074717501831,0.330201506784672,-1.03226967079979,0.262120235796127,0.243541279995363,0.215,0.000367008606694127,0.000262022740907293,8813,5883,5,4,200,3527.57681798935,NA
"8150015148414","mean_offers",-0.791576565325038,2.07515494061448,-4.85888024892941,3.27572711827934,0.702866250654336,0.435,0.0343179797539506,0.00153808685315044,1222,848,5,4,200,375.014173984528,NA
"8150015338673","domestic_share",-0.274212364223037,0.116404447579533,-0.502365081478922,-0.0460596469671526,0.0184885227996072,0.035,0.00458263238890306,0.0339758789515474,14335,50,5,2,200,5414.76157689095,NA
"8150015338673","max_log_unit_price",-0.243957180669256,0.372765390562128,-0.974577346171027,0.486662984832515,0.512820425636165,0.185,0.000442199818493128,0.00056292709813003,17148,3878,5,2,200,7688.63863897324,NA
"8150015338673","mean_offers",-0.0251243634539031,1.59026544848307,-3.14204464248072,3.09179591557291,0.98739486680649,0.875,0.00662382619016994,0.00075287395781836,3558,2074,5,2,200,935.18306517601,NA
"8150015338674","domestic_share",-0.261083350369149,0.0978199724816827,-0.452810496433247,-0.069356204305051,0.00760731809453885,0.035,0.00138222051473581,0.00991238907098808,13623,167,5,3,200,5466.63441419601,NA
"8150015338674","max_log_unit_price",-0.360822242280593,0.376309306602601,-1.09838848322169,0.376743998660504,0.337636909007629,0.135,0.000341578304840091,0.000307005545714354,15362,5438,5,3,200,6382.85934185982,NA
"8150015338674","mean_offers",-0.46134508713963,1.98835465504012,-4.35852021101826,3.435830036739,0.816519729866499,0.595,0.0252091576729189,0.00150637275988074,2928,1185,5,3,200,801.203706026077,NA
"8150015338675","domestic_share",-0.634078740660479,0.0995338228489092,-0.829165033444341,-0.438992447876617,1.88431270586875e-10,0.01,0.00677374275603236,0.0388846742867341,12222,48,5,3,200,5390.0551970005,NA
"8150015338675","max_log_unit_price",-0.109029127197199,0.358804316022377,-0.812285586601059,0.59422733220666,0.761228506211299,0.495,0.000214968089528197,0.000190225639861896,14750,6751,5,3,200,5881.73503303528,NA
"8150015338675","mean_offers",0.222505632450319,1.50072477181626,-2.71891492030955,3.16392618521018,0.882133281478612,0.755,0.00546988233277521,0.000589304450417746,2618,2099,5,3,200,731.926852941513,NA
"8150015338677","domestic_share",-0.418066296731132,0.0563252015633176,-0.528463691795235,-0.30766890166703,1.15019105351166e-13,0.005,0.00286469715389811,0.018506405428676,14335,83,5,2,200,5808.35799384117,NA
"8150015338677","max_log_unit_price",-0.119752214976774,0.368188157561811,-0.841401003797925,0.601896573844376,0.744993890491582,0.54,0.000433475534109374,0.000532709852894257,17148,3556,5,2,200,7808.62837481499,NA
"8150015338677","mean_offers",-0.0311057439183691,1.93443005591962,-3.82258865352083,3.76037716568409,0.987170524345486,0.815,0.00690200341858554,0.000937378898502511,3558,1538,5,2,200,997.354045152664,NA
"8150015741682","domestic_share",-0.819555486609873,0.0729069639193884,-0.962453135891874,-0.676657837327871,0,0,0.0122599501151549,0.0707905463077482,15860,19,4,2,200,6012.97464203835,NA
"8150015741682","max_log_unit_price",0.0103696413112413,0.422352177789842,-0.817440627156849,0.838179909779331,0.980412210554007,0.98,0.000128101835071336,0.000211640848511313,19028,6117,4,2,200,5941.30359315872,NA
"8150015741682","mean_offers",1.03831383664349,1.86569056391748,-2.61843966863478,4.69506734192176,0.577848200955909,0.26,0.00353771345218319,0.000505590786163017,4328,3035,4,2,200,995.838510036469,NA
