NSN,BASE_PIID,mod_n,line_n,AWARD_DATE,_n,_nq,_np,_no
6505011253253,SPE2D920F3299,BASE,1,2020-06-12,7,1,2,1
6505011329979,SPE2D921F1147,BASE,1,2021-01-13,4,1,2,1
6505011329979,SPE2D922F0372,BASE,1,2021-10-24,5,1,2,1
6505011349846,SPE2D920F3460,BASE,1,2020-07-01,8,1,2,1
6505011357373,SPE2D921F1168,BASE,1,2021-01-16,8,1,2,1
6505011428314,SPE2D920F1538,BASE,1,2020-02-12,3,1,2,1
6505011533379,SPE2D920F1537,BASE,1,2020-02-12,3,1,2,1
6505011534335,SPE2D923F0367,BASE,1,2022-11-03,14,1,2,1
6505011897090,SPE2D921F1437,BASE,1,2021-02-10,8,1,2,1
6505011947266,SPE2D920F2966,BASE,1,2020-05-16,3,1,2,1
6505011947266,SPE2D922F4185,BASE,1,2022-08-22,3,1,2,1
6505011947266,SPE2D922F4557,BASE,1,2022-09-13,3,1,2,1
6505011947266,SPE2D922F4615,BASE,1,2022-09-16,2,1,2,1
6505011947266,SPE2D922F4693,BASE,1,2022-09-20,2,1,2,1
6505011947266,SPE2D922F4719,BASE,1,2022-09-21,3,1,2,1
6505011947266,SPE2D923F0147,BASE,1,2022-10-18,2,1,2,1
6505011947266,SPE2D923F0311,BASE,1,2022-10-31,2,1,2,1
6505011954561,SPE2D920F3436,BASE,1,2020-06-26,22,1,2,1
6505012104472,SPE2D921F0827,BASE,1,2020-12-14,4,1,2,1
6505012149062,SPE2D920F2627,BASE,1,2020-04-27,7,1,2,1
6505012149062,SPE2D920F2735,BASE,1,2020-05-04,6,1,2,1
6505012149062,SPE2D920F2843,BASE,1,2020-05-07,3,1,2,1
6505012191084,SPE2D921F1386,BASE,1,2021-02-05,15,1,2,1
6505012299097,SPE2D922F1046,BASE,1,2021-12-22,4,1,2,1
6505012447982,SPE2D920F0231,BASE,1,2019-10-17,2,1,2,1
6505012447982,SPE2D920F0355,BASE,1,2019-10-26,2,1,2,1
6505012447982,SPE2D920F0680,BASE,1,2019-11-30,2,1,2,1
6505012447982,SPE2D920F0752,BASE,1,2019-12-13,2,1,2,1
6505012447982,SPE2D920F0755,BASE,1,2019-12-15,2,1,2,1
6505012447982,SPE2D920F0928,BASE,1,2020-01-10,7,1,2,1
