"Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist.","treated_nsn","covariate","stage"
9.471368,4.772146,1.747266,NA,0.481043,0.97949,NA,"8150015134913","mean_max_log_unit_price","before"
0.15,0.959721,-5.117967,NA,0.861232,0.98225,NA,"8150015134913","mean_domestic_share","before"
2.958333,4.02382,-0.257906,NA,0.272921,0.501334,NA,"8150015134913","mean_pre_offers","before"
0,0.565666,-0.563913,NA,0.000184,1,0.563913,"8150015134913","distance","after"
1.526056,1.497796,0.028234,NA,0.004431,0.333333,0.135033,"8150015134913","log_n_transactions_per_fy","after"
9.471368,8.780527,0.256869,NA,0.042575,1,0.256869,"8150015134913","mean_max_log_unit_price","after"
0.15,0.111111,0.245803,NA,0.026455,1,0.245803,"8150015134913","mean_domestic_share","after"
2.958333,2.579861,0.091611,NA,0.221686,0.666667,0.259705,"8150015134913","mean_pre_offers","after"
0,3.268836,-2.807691,NA,0.5,1,NA,"8150015148414","distance","before"
2.322388,2.293905,0.024199,NA,0.113646,0.621994,NA,"8150015148414","log_n_transactions_per_fy","before"
9.260829,4.393136,1.79355,NA,0.481331,0.979438,NA,"8150015148414","mean_max_log_unit_price","before"
0.69278,0.971382,-2.152285,NA,0.693445,0.967689,NA,"8150015148414","mean_domestic_share","before"
3.100614,4.631245,-0.316143,NA,0.264867,0.500275,NA,"8150015148414","mean_pre_offers","before"
0,1.186622,-1.019222,NA,0.000367,1,1.019222,"8150015148414","distance","after"
2.322388,1.975108,0.295048,NA,0.021053,1,0.295048,"8150015148414","log_n_transactions_per_fy","after"
9.260829,8.125895,0.418178,NA,0.059298,1,0.418178,"8150015148414","mean_max_log_unit_price","after"
0.69278,0.75037,-0.444901,NA,0.106704,0.666667,1.002853,"8150015148414","mean_domestic_share","after"
3.100614,4.696543,-0.32963,NA,0.186433,1,0.32963,"8150015148414","mean_pre_offers","after"
0,4.514646,-5.556503,NA,0.499995,1,NA,"8150015338673","distance","before"
3.478158,1.90545,1.571288,NA,0.198069,0.909133,NA,"8150015338673","log_n_transactions_per_fy","before"
8.960844,4.772146,1.557443,NA,0.461277,0.958521,NA,"8150015338673","mean_max_log_unit_price","before"
0.446042,0.959721,-3.246788,NA,0.744061,0.970017,NA,"8150015338673","mean_domestic_share","before"
2.613849,4.02382,-0.34129,NA,0.276148,0.546951,NA,"8150015338673","mean_pre_offers","before"
0,1.667018,-2.051721,NA,0.000184,1,2.051721,"8150015338673","distance","after"
3.478158,3.427481,0.050631,NA,0.19469,0.666667,0.760081,"8150015338673","log_n_transactions_per_fy","after"
8.960844,6.238746,1.012131,NA,0.276648,1,1.012131,"8150015338673","mean_max_log_unit_price","after"
0.446042,0.483858,-0.239024,NA,0.039021,0.666667,0.486271,"8150015338673","mean_domestic_share","after"
2.613849,3.296631,-0.165271,NA,0.132926,1,0.165271,"8150015338673","mean_pre_offers","after"
0,3.238571,-3.142222,NA,0.500009,1,NA,"8150015338674","distance","before"
2.785011,1.993205,0.759753,NA,0.107605,0.811496,NA,"8150015338674","log_n_transactions_per_fy","before"
8.873518,4.611598,1.586383,NA,0.464154,0.961281,NA,"8150015338674","mean_max_log_unit_price","before"
0.722466,0.966082,-1.734853,NA,0.630297,0.957988,NA,"8150015338674","mean_domestic_share","before"
3.370757,4.496425,-0.239628,NA,0.268308,0.541762,NA,"8150015338674","mean_pre_offers","before"
0,1.103491,-1.070661,NA,2e-04,1,1.070661,"8150015338674","distance","after"
2.785011,2.432002,0.338719,NA,0.043333,0.666667,0.454029,"8150015338674","log_n_transactions_per_fy","after"
8.873518,7.625713,0.464461,NA,0.08708,1,0.464461,"8150015338674","mean_max_log_unit_price","after"
0.722466,0.79134,-0.490465,NA,0.092453,0.666667,0.529303,"8150015338674","mean_domestic_share","after"
