waiver_id,created,modified,identifier,identifier_type,source_field,waiver_title,contracting_agency,funding_agency,psc,waiver_type,fiscal_year
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014912727,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014638555,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014839115,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014839121,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014839123,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014839125,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150015338677,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150015338675,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150015338674,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150015338673,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014813740,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014813741,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150015741682,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
65d7b5d798b4451295e49db2,2024-02-22 21:00:07.240000+00:00,2024-02-28 14:41:45.616000+00:00,8150014813741,nsn,summary,"BICON I, FREIGHT, GENERAL",DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
65d756db98b4451295e495f1,2024-02-22 14:14:51.356000+00:00,2024-02-28 14:40:55.107000+00:00,8150014912727,nsn,summary,ISO CARGO CONTAINER,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
6581b377cf731f010dc7e77a,2023-12-19 15:15:03.771000+00:00,2024-01-02 17:29:27.433000+00:00,01EBC902EXAT20,part_number,title,"Bearing cartridge; COOPER SPLIT-COP, P/N 01 EBC902EXAT20",DEPT OF THE NAVY,DEPT OF THE NAVY,"3110 - BEARINGS, ANTIFRICTION, UNMOUNTED",Nonavailability,2024
650b3a5be3d685db2dc6bb41,2023-09-20 18:30:51.128000+00:00,2023-09-26 18:41:01.226000+00:00,8150015338675,nsn,piid,"quadcon, iso shipping containers",DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2023
650b32f8a749d7d4c7a0d8e9,2023-09-20 17:59:20.159000+00:00,2023-09-26 18:42:16.837000+00:00,8150014839121,nsn,piid,"Quadcon, ISO Shipping Container",DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2023
6509ed54e3d685db2dc6b299,2023-09-19 18:49:56.295000+00:00,2023-09-26 16:20:43.085000+00:00,K82274,part_number,title,1550 Nanometer Single Frequency Fiber Laser (Part No. K82274),DEPT OF THE ARMY,DEPT OF THE ARMY,6640 - LABORATORY EQUIPMENT AND SUPPLIES,Nonavailability,2023
