"Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist.","treated_nsn","covariate","stage"
2.76001,2.417399,0.308022,NA,0.042778,0.666667,0.478548,"8150014912678","log_n_transactions_per_fy","after"
9.24078,8.224796,0.376426,NA,0.056214,1,0.376426,"8150014912678","mean_max_log_unit_price","after"
0.52,0.499098,0.153705,NA,0.027601,0.666667,0.516295,"8150014912678","mean_domestic_share","after"
4.2,3.302151,0.196311,NA,0.300685,0.666667,0.452612,"8150014912678","mean_pre_offers","after"
0,4.299084,-4.585574,NA,0.500018,1,NA,"8150014912727","distance","before"
0.875469,1.485395,-0.663693,NA,0.044089,0.798302,NA,"8150014912727","log_n_transactions_per_fy","before"
9.578388,5.000625,1.701266,NA,0.477938,0.976709,NA,"8150014912727","mean_max_log_unit_price","before"
0.333333,0.952572,-3.608061,NA,0.780513,0.97021,NA,"8150014912727","mean_domestic_share","before"
2.166667,3.923399,-0.47196,NA,0.286281,0.619136,NA,"8150014912727","mean_pre_offers","before"
0,0.526312,-0.561386,NA,9.5e-05,1,0.561386,"8150014912727","distance","after"
0.875469,1.087465,-0.230684,NA,0.005722,1,0.230684,"8150014912727","log_n_transactions_per_fy","after"
9.578388,9.780283,-0.075031,NA,0.011675,0.666667,0.158895,"8150014912727","mean_max_log_unit_price","after"
0.333333,0.294643,0.225434,NA,0.020011,1,0.225434,"8150014912727","mean_domestic_share","after"
2.166667,1.416667,0.201494,NA,0.151847,1,0.201494,"8150014912727","mean_pre_offers","after"
0,3.53309,-3.941139,NA,0.500065,1,NA,"8150015012741","distance","before"
2.639057,1.994103,0.616762,NA,0.098239,0.788452,NA,"8150015012741","log_n_transactions_per_fy","before"
9.149825,4.59064,1.682695,NA,0.473619,0.971841,NA,"8150015012741","mean_max_log_unit_price","before"
0.603535,0.966681,-2.582825,NA,0.709423,0.967876,NA,"8150015012741","mean_domestic_share","before"
2.674773,4.422613,-0.388201,NA,0.273875,0.568161,NA,"8150015012741","mean_pre_offers","before"
0,0.968114,-1.079925,NA,0.000203,1,1.079925,"8150015012741","distance","after"
2.639057,2.101605,0.513959,NA,0.041135,1,0.513959,"8150015012741","log_n_transactions_per_fy","after"
9.149825,8.537215,0.226101,NA,0.038759,0.666667,0.233133,"8150015012741","mean_max_log_unit_price","after"
0.603535,0.539288,0.456953,NA,0.036448,0.666667,0.492874,"8150015012741","mean_domestic_share","after"
2.674773,3.767345,-0.242664,NA,0.170166,1,0.242664,"8150015012741","mean_pre_offers","after"
0,5.188972,-5.537935,NA,0.500004,1,NA,"8150015134913","distance","before"
1.648659,1.905688,-0.256734,NA,0.066499,0.538164,NA,"8150015134913","log_n_transactions_per_fy","before"
9.471368,4.772548,1.746981,NA,0.481045,0.979492,NA,"8150015134913","mean_max_log_unit_price","before"
0.15,0.959673,-5.115136,NA,0.861169,0.982251,NA,"8150015134913","mean_domestic_share","before"
3.020833,4.023568,-0.242727,NA,0.273237,0.540372,NA,"8150015134913","mean_pre_offers","before"
0,0.567304,-0.605456,NA,0.000184,1,0.605456,"8150015134913","distance","after"
1.648659,1.497796,0.150689,NA,0.005917,0.666667,0.175821,"8150015134913","log_n_transactions_per_fy","after"
9.471368,8.780527,0.256849,NA,0.042602,1,0.256849,"8150015134913","mean_max_log_unit_price","after"
0.15,0.111111,0.245682,NA,0.026455,1,0.245682,"8150015134913","mean_domestic_share","after"
3.020833,2.579861,0.106744,NA,0.225969,0.666667,0.264758,"8150015134913","mean_pre_offers","after"
0,3.239476,-2.990161,NA,0.5,1,NA,"8150015148414","distance","before"
2.341806,2.294011,0.040601,NA,0.113524,0.62672,NA,"8150015148414","log_n_transactions_per_fy","before"
9.260829,4.393891,1.793086,NA,0.481338,0.979446,NA,"8150015148414","mean_max_log_unit_price","before"
0.690476,0.971314,-2.168065,NA,0.691446,0.967517,NA,"8150015148414","mean_domestic_share","before"
3.096726,4.631604,-0.317058,NA,0.264939,0.500459,NA,"8150015148414","mean_pre_offers","before"
0,0.953151,-0.879795,NA,0.000367,1,0.879795,"8150015148414","distance","after"
2.341806,1.989603,0.29919,NA,0.021554,1,0.29919,"8150015148414","log_n_transactions_per_fy","after"
9.260829,8.673154,0.216512,NA,0.022136,1,0.216512,"8150015148414","mean_max_log_unit_price","after"
0.690476,0.659468,0.239379,NA,0.071563,0.666667,0.80306,"8150015148414","mean_domestic_share","after"
3.096726,4.451937,-0.279944,NA,0.170049,0.666667,0.307613,"8150015148414","mean_pre_offers","after"
0,4.532252,-5.876206,NA,0.499997,1,NA,"8150015338673","distance","before"
3.520461,1.905688,1.612921,NA,0.206825,0.912268,NA,"8150015338673","log_n_transactions_per_fy","before"
8.960844,4.772548,1.557173,NA,0.461281,0.958525,NA,"8150015338673","mean_max_log_unit_price","before"
0.444527,0.959673,-3.254452,NA,0.743991,0.97002,NA,"8150015338673","mean_domestic_share","before"
2.599758,4.023568,-0.344654,NA,0.276385,0.549568,NA,"8150015338673","mean_pre_offers","before"
0,1.223332,-1.586088,NA,0.000184,1,1.586088,"8150015338673","distance","after"
3.520461,3.62341,-0.102831,NA,0.170852,0.666667,0.578276,"8150015338673","log_n_transactions_per_fy","after"
8.960844,7.052775,0.709404,NA,0.198565,1,0.709404,"8150015338673","mean_max_log_unit_price","after"
